name,tnved,country,currency,usd
 БОЛЬШОЙ ПАКЕТ РОЖДЕСТВЕНСКИХ ПОДАРКОВ 50-Х ГОДОВ,4819200000,Азербайджан,RU,1.25
 МЕНЗУРКА ДЛЯ ДЕВОЧКИ-ДОЛЛИ ИГРУШКА,9503000000,Никарагуа,NIO,1.25
 Я ЛЮБЛЮ ЛОНДОНСКИЙ МИНИ-РЮКЗАК,4202000000,Никарагуа,NIO,4.15
 АККУРАТНЫЙ ОФИС С ДЕВЯТЬЮ ЯЩИКАМИ,9404900000,Иран,IRR,14.95
 ОВАЛЬНОЕ НАСТЕННОЕ ЗЕРКАЛО С БРИЛЛИАНТОМ,7009000000,Мьянма,MMK,20.38
 ПОДАРОЧНЫЙ ПАКЕТ С КРАСНЫМ ПЯТНОМ БОЛЬШОЙ,4819200000,Бразилия,BRL,1.25
" НАБОР ИЗ 2 КУХОННЫХ ПОЛОТЕНЕЦ ""Я ЛЮБЛЮ ЛОНДОН"" ",6302900000,Вьетнам,VND,2.95
 ДЕТСКИЙ ПОДАРОЧНЫЙ НАБОР SPACEBOY,9503000000,Индонезия,IDR,16.95
 ПРИКРОВАТНЫЙ СВЕТИЛЬНИК НА ПОГАНКЕ,9405900000,Казахстан,KZT,8.95
Бумбокс Ipod Classic,8517000000,Азербайджан,AZN,16.98
Офисный Зеркальный Шар USB,8523000000,Иран,IRR,8.47
10 ЦВЕТНАЯ РУЧКА SPACEBOY,9608000000,Сирия,SYP,0.85
12 ЦВЕТНЫХ ПРАЗДНИЧНЫХ ВОЗДУШНЫХ ШАРОВ ДЕТСКИЙ,9503000000,Венесуэла,VES,0.65
10 КАРАНДАШЕЙ РОМАШЕК В ДЕРЕВЯННОЙ КОРОБКЕ,9609000000,Египет,EGP,1.65
ЯИЧНЫЙ ДОМИК КАРАНДАШИ ЦВЕТНЫЕ,9609000000,Куба,CUP,25.49
12 РУЧЕК ДЛЯ ЯИЦ РУЧНОЙ РОСПИСИ,9609000000,Армения,AMD,2.08
НАБОР ДЛЯ ИГРЫ В БАДМИНТОН,9506000000,Казахстан,KZT,2.51
12 ОТКРЫТОК ДЛЯ СООБЩЕНИЙ С КОНВЕРТАМИ,4911000000,Индонезия,IDR,1.65
24 КАРАНДАШЕЙ МАЛЕНЬКАЯ ТРУБКА ЛЕСНОЙ МАССИВ,9609000000,Мьянма,MMK,0.65
НАБОР КАРАНДАШЕЙ МАЛЕНЬКИЙ ТЮБИК КРАСНОГО ЦВЕТА RETROSPOT,9609000000,Турция,TRY,1.28
100 КАРАНДАШЕЙ МАЛЕНЬКИХ,9609000000,Беларусь,BYN,0.65
БУКЕТ ИЗ 50 КАРАНДАШЕЙ В ВЫСОКОМ ТЮБИКЕ,9609000000,Турция,TRY,0.85
НАБОР КАРАНДАШЕЙ В ВЫСОКОМ ТУБУСЕ КРАСНОГО ЦВЕТА RETROSPOT,9609000000,Турция,TRY,0.85
12 ЦВЕТНЫХ КАРАНДАШЕЙ В ВИДЕ ЧЕРЕПОВ В ВИДЕ ТРУБОЧЕК,9609000000,Армения,AMD,0.85
КАРАНДАШИ В ВЫСОКОМ ТРУБЧАТОМ ЛЕСУ,9609000000,Индонезия,IDR,1.66
12 РОЗОВЫХ КУРИЦ + ЦЫПЛЯТА В КОРЗИНКЕ,9503000000,Мексика,MXN,2.55
НАБОР ДЛЯ ИГРЫ В ТЕННИС,9506000000,Аргентина,ARS,1.25
НАБОР ДЛЯ ИГРЫ В ШАХМАТЫ,9506000000,Венесуэла,VES,2.51
15 РОЗОВЫХ ПУШИСТЫХ ЦЫПЛЯТ В КОРОБКЕ,9503000000,Киргизия,KGS,2.95
РОЖДЕСТВЕНСКИЙ СТЕКЛЯННЫЙ ШАР 15 СМ С 20 ОГНЯМИ,7013000000 ,Беларусь,BYN,16.98
ДИЗАЙНЕРСКАЯ ПОЛКА ДЛЯ СТОЛОВЫХ ПРИБОРОВ,9403000000,Египет,EGP,15.95
ДИЗАЙН ШКАФ ДЛЯ СТОЛОВЫХ ПРИБОРОВ Из 16 ЧАСТЕЙ,9403000000 ,Индия,INR,33.29
НАБОР ДЕРЕВЯННЫХ СТОЛОВЫХ ПРИБОРОВ ЛОЖКИ ВИЛКИ 18ШТ ОДНОРАЗОВЫЙ,4419190000,Индия,INR,1.25
